model_name,split,n_rows,accuracy,log_loss,brier_score,null_log_loss,mean_model_a_win_rate,covered_row_share,unknown_pair_rows
baseline,train,78678.0,0.6313073540252675,0.6452835133175822,0.22686535355089998,0.6930676911707279,0.4936958234830575,1.0,0.0
baseline,validation,9835.0,0.6268429079816981,0.6456451385299321,0.2269747401919457,0.6930689720652911,0.49374682257244534,1.0,0.0
baseline,test,9835.0,0.6273512963904423,0.6465391557829813,0.22735881088747098,0.6930879955022876,0.4945602440264362,1.0,0.0
proxy_augmented,train,78678.0,0.6374844302092072,0.6411957668216025,0.22424020462188213,0.6930676911707279,0.4936958234830575,1.0,0.0
proxy_augmented,validation,9835.0,0.6377224199288256,0.6399491392821776,0.22406305851620797,0.6930689720652911,0.49374682257244534,1.0,0.0
proxy_augmented,test,9835.0,0.6361972547025928,0.6414565659111912,0.22448756115613439,0.6930879955022876,0.4945602440264362,1.0,0.0
formatting_augmented,train,78678.0,0.6388316937390376,0.6396563937757329,0.2235810867801297,0.6930676911707279,0.4936958234830575,1.0,0.0
formatting_augmented,validation,9835.0,0.6401626842907981,0.6382638421131521,0.22326436452955437,0.6930689720652911,0.49374682257244534,1.0,0.0
formatting_augmented,test,9835.0,0.6408744280630402,0.6388162549202889,0.22321595680256345,0.6930879955022876,0.4945602440264362,1.0,0.0
full_formatting,train,78678.0,0.6404204479015735,0.6374612735977204,0.22265558588511108,0.6930676911707279,0.4936958234830575,1.0,0.0
full_formatting,validation,9835.0,0.6365022877478393,0.6382026572937365,0.2232561590974509,0.6930689720652911,0.49374682257244534,1.0,0.0
full_formatting,test,9835.0,0.63823080833757,0.6356963221059166,0.22239089404081613,0.6930879955022876,0.4945602440264362,1.0,0.0
full_formatting_plus_signals,train,78678.0,0.6397976562698594,0.6374522542982881,0.22267061347853923,0.6930676911707279,0.4936958234830575,1.0,0.0
full_formatting_plus_signals,validation,9835.0,0.6368073207930859,0.6380590476493905,0.22320333562709066,0.6930689720652911,0.49374682257244534,1.0,0.0
full_formatting_plus_signals,test,9835.0,0.6393492628368074,0.6359068547318181,0.22248897439605084,0.6930879955022876,0.4945602440264362,1.0,0.0
signal_main_effects,train,78678.0,0.6390350542718422,0.6395670012109956,0.22354181119167216,0.6930676911707279,0.4936958234830575,1.0,0.0
signal_main_effects,validation,9835.0,0.6405693950177936,0.6381314044498736,0.22320842126274298,0.6930689720652911,0.49374682257244534,1.0,0.0
signal_main_effects,test,9835.0,0.6410777834265379,0.6389300640594853,0.22325868061933704,0.6930879955022876,0.4945602440264362,1.0,0.0
signal_interactions,train,78678.0,0.6389460840387402,0.6393327283690802,0.2234620595508119,0.6930676911707279,0.4936958234830575,1.0,0.0
signal_interactions,validation,9835.0,0.6412811387900356,0.6384630748862034,0.2233059873115466,0.6930689720652911,0.49374682257244534,1.0,0.0
signal_interactions,test,9835.0,0.6416878495170311,0.6388368199674456,0.2232465140414131,0.6930879955022876,0.4945602440264362,1.0,0.0
