column,true_count,share
creative_writing,0,0.0
criteria_creativity,0,0.0
instruction_following,0,0.0
math,0,0.0
is_code,0,0.0
criteria_problem_solving,0,0.0
criteria_domain_knowledge,0,0.0
criteria_technical_accuracy,0,0.0
criteria_complexity,78,0.011077971878994461
criteria_specificity,123,0.017469109501491265
criteria_real_world,36,0.0051129100979974435
raw_creative_writing,0,0.0
raw_criteria_creativity,0,0.0
raw_if,0,0.0
raw_math,0,0.0
raw_criteria_problem_solving,0,0.0
raw_criteria_domain_knowledge,0,0.0
raw_criteria_technical_accuracy,0,0.0
